Ensembl Gene ID (Human)	Ensembl Gene ID (Mouse)	Human Gene Symbol	PS score (P-value)	PS score (Z-score)	PG classification	Semantic similarity
ENSG00000166415	ENSMUSG00000044976	WDR72	2.27807E-12	6.91876	HPG	2.53237
ENSG00000167749	ENSMUSG00000006948	KLK4	6.73194E-12	6.763563	HPG	2.487688
ENSG00000113569	ENSMUSG00000022142	NUP155	1.00032E-11	6.705976	HPG	2.659082
ENSG00000137674	ENSMUSG00000018620	MMP20	2.99945E-11	6.543765	HPG	2.610928
ENSG00000178522	ENSMUSG00000029288	AMBN	2.30948E-10	6.231532	HPG	2.518239
ENSG00000244752	ENSMUSG00000042240	CRYBB2	1.34247E-09	5.949785	HPG	2.56502
ENSG00000096093	ENSMUSG00000041809	EFHC1	6.73446E-09	5.680007	HPG	1.984869
ENSG00000105983	ENSMUSG00000010721	LMBR1	1.22035E-08	5.57745	HPG	1.713314
ENSG00000187242	ENSMUSG00000020912	KRT12	6.02644E-08	5.292692	HPG	2.064216
ENSG00000042832	ENSMUSG00000053469	TG	7.9037E-08	5.242898	HPG	2.148783
ENSG00000108255	ENSMUSG00000000724	CRYBA1	1.10261E-07	5.18115	HPG	2.333839
ENSG00000170819	ENSMUSG00000032556	BFSP2	1.41412E-07	5.134547	HPG	2.018685
ENSG00000137106	ENSMUSG00000035637	GRHPR	1.42589E-07	5.132988	HPG	2.120008
ENSG00000171812	ENSMUSG00000056174	COL8A2	1.43331E-07	5.132012	HPG	2.119752
ENSG00000121634	ENSMUSG00000049908	GJA8	2.59303E-07	5.019298	HPG	2.457399
ENSG00000109667	ENSMUSG00000005107	SLC2A9	3.32539E-07	4.971293	HPG	2.442417
ENSG00000120693	ENSMUSG00000027796	SMAD9	3.73274E-07	4.948846	HPG	2.137461
ENSG00000198523	ENSMUSG00000038583	PLN	3.75333E-07	4.947775	HPG	1.956447
ENSG00000021488	ENSMUSG00000030492	SLC7A9	6.49284E-07	4.839973	HPG	1.903262
ENSG00000186832	ENSMUSG00000053797	KRT16	7.62429E-07	4.80795	HPG	2.03491
