gene	Expression conservation
ENSG00000131183	0.453449734
ENSG00000112425	0.33237055
ENSG00000116062	0.42542679
ENSG00000171403	0.350320031
ENSG00000112782	0.381250167
ENSG00000204843	0.346856225
ENSG00000091138	0.444027523
ENSG00000165409	0.347757219
ENSG00000118965	0.503908178
ENSG00000091137	0.385382253
ENSG00000204248	0.296330423
ENSG00000152661	0.381387394
ENSG00000154122	0.571329389
ENSG00000167749	0.32021879
ENSG00000162669	0.43284082
ENSG00000112041	0.430567171
ENSG00000164946	0.273405794
ENSG00000175097	0.422584855
ENSG00000112320	0.369237754
ENSG00000087494	0.285986062
ENSG00000182492	0.357118832
ENSG00000196767	0.355281746
ENSG00000076248	0.384151588
ENSG00000113327	0.408721597
ENSG00000162676	0.408945478
ENSG00000111775	0.343269142
ENSG00000007171	0.401489584
ENSG00000068078	0.345117886
ENSG00000105974	0.379592628
ENSG00000149922	0.408506804
ENSG00000105877	0.648559403
ENSG00000196712	0.358693185
ENSG00000135409	0.344108598
ENSG00000001626	0.406895748
ENSG00000057294	0.410478209
ENSG00000198523	0.386856617
ENSG00000102878	0.307301806
ENSG00000203867	0.532410439
ENSG00000174469	0.348496229
ENSG00000105618	0.416640402
ENSG00000166340	0.397569836
ENSG00000100170	0.596374711
ENSG00000102678	0.378563638
ENSG00000164756	0.373982749
ENSG00000068976	0.449451049
ENSG00000123364	0.371167158
ENSG00000164619	0.42400139
ENSG00000058085	0.314113465
ENSG00000180644	0.56253192
ENSG00000170819	0.365237316
ENSG00000103876	0.579887497
ENSG00000159082	0.399375554
ENSG00000111276	0.374636479
ENSG00000092929	0.445659942
ENSG00000167654	0.373146265
ENSG00000121207	0.427746589
ENSG00000168615	0.34137059
ENSG00000096696	0.432453578
ENSG00000023839	0.413571829
ENSG00000138075	0.478081493
ENSG00000188937	0.326049127
ENSG00000163898	0.675074452
ENSG00000104918	0.384069477
ENSG00000157404	0.409129386
ENSG00000074047	0.39477124
ENSG00000141510	0.347587992
ENSG00000070019	0.277262692
