center_gene	jaccard	OC
ENSG00000131183	0.0	0.0
ENSG00000141378	0.0	0.0
ENSG00000116062	0.0	0.0
ENSG00000112782	0.047619047619	1.0
ENSG00000080819	0.0666666666667	1.0
ENSG00000120942	0.0	0.0
ENSG00000204248	0.0625	0.166666666667
ENSG00000185129	0.056338028169	0.444444444444
ENSG00000169032	0.0	0.0
ENSG00000039068	0.281690140845	0.909090909091
ENSG00000072274	0.0	0.0
ENSG00000204120	0.0740740740741	1.0
ENSG00000164946	0.470588235294	0.727272727273
ENSG00000136689	0.0	0.0
ENSG00000175097	0.0	0.0
ENSG00000018236	0.571428571429	0.8
ENSG00000087494	0.305555555556	0.916666666667
ENSG00000182492	0.454545454545	0.833333333333
ENSG00000156150	0.619047619048	0.866666666667
ENSG00000117425	0.307692307692	0.909090909091
ENSG00000076242	0.0	0.0
ENSG00000100146	0.0348837209302	0.5
ENSG00000124205	0.375	1.0
ENSG00000119888	0.3125	0.909090909091
ENSG00000111670	0.0	0.0
ENSG00000178573	0.446808510638	0.954545454545
ENSG00000111676	0.0	0.0
ENSG00000068796	0.190476190476	0.571428571429
ENSG00000168685	0.0	0.0
ENSG00000198851	0.0	0.0
ENSG00000083093	0.0	0.0
ENSG00000149922	0.255813953488	0.88
ENSG00000008710	0.133079847909	1.0
ENSG00000106397	0.0298507462687	0.25
ENSG00000174640	0.125	0.222222222222
ENSG00000057294	0.642857142857	0.818181818182
ENSG00000105409	1.0	1.0
ENSG00000101384	0.19018404908	0.96875
ENSG00000125347	0.0220588235294	0.142857142857
ENSG00000085999	0.0714285714286	1.0
ENSG00000113494	0.0940170940171	0.785714285714
ENSG00000166349	0.0	0.0
ENSG00000105996	0.0	0.0
ENSG00000166228	0.25	0.5
ENSG00000166341	0.425	0.894736842105
ENSG00000122861	0.0	0.0
ENSG00000005073	0.46	0.978723404255
ENSG00000102678	0.377358490566	0.93023255814
ENSG00000177706	0.388888888889	1.0
ENSG00000198931	0.15	1.0
ENSG00000123364	0.272727272727	1.0
ENSG00000164619	0.173913043478	1.0
ENSG00000170819	0.466666666667	0.875
ENSG00000103876	0.333333333333	0.666666666667
ENSG00000258839	1.0	1.0
ENSG00000111276	0.0130434782609	0.428571428571
ENSG00000130711	0.0	0.0
ENSG00000167286	0.170731707317	0.875
ENSG00000100099	0.375	1.0
ENSG00000168267	0.0	0.0
ENSG00000277893	0.0	0.0
ENSG00000168610	0.0	0.0
ENSG00000167522	0.063829787234	1.0
ENSG00000197746	0.0	0.0
ENSG00000175564	0.0	0.0
ENSG00000166086	0.0	0.0
ENSG00000145191	0.142857142857	1.0
ENSG00000156973	1.0	1.0
ENSG00000188937	0.648148148148	0.833333333333
ENSG00000070785	0.153846153846	0.666666666667
ENSG00000140287	0.166666666667	1.0
ENSG00000099377	0.5	0.708333333333
ENSG00000118729	0.666666666667	1.0
ENSG00000151694	0.0	0.0
ENSG00000140675	1.0	1.0
ENSG00000088256	0.09375	1.0
ENSG00000070018	0.138655462185	0.970588235294
ENSG00000005471	0.0	0.0
ENSG00000171867	0.0	0.0
ENSG00000181541	0.3	1.0
ENSG00000149418	0.0	0.0
ENSG00000114739	0.228187919463	0.971428571429
ENSG00000037280	0.046511627907	0.333333333333
ENSG00000135100	0.363636363636	0.857142857143
ENSG00000106692	0.0645161290323	1.0
ENSG00000138061	0.272727272727	1.0
ENSG00000128422	0.255813953488	0.916666666667
ENSG00000153563	0.0	0.0
ENSG00000115170	0.220238095238	0.90243902439
ENSG00000171503	0.642857142857	0.782608695652
ENSG00000138696	0.344827586207	0.833333333333
ENSG00000087116	0.0625	0.166666666667
ENSG00000186790	0.0571428571429	0.666666666667
ENSG00000185002	0.487804878049	0.909090909091
ENSG00000073861	0.0441176470588	0.6
ENSG00000189221	0.0	0.0
ENSG00000134323	0.320512820513	0.862068965517
ENSG00000177030	0.571428571429	1.0
ENSG00000109424	0.333333333333	0.8
ENSG00000156574	0.0	0.0
ENSG00000134755	0.5	1.0
ENSG00000213398	0.329896907216	0.695652173913
ENSG00000117322	0.0666666666667	0.666666666667
ENSG00000119681	0.0	0.0
ENSG00000115107	1.0	1.0
ENSG00000184937	0.440677966102	0.928571428571
ENSG00000143801	0.0	0.0
ENSG00000151090	0.0	0.0
ENSG00000123607	0.826086956522	0.95
ENSG00000103126	0.493827160494	0.975609756098
ENSG00000173801	0.625	1.0
ENSG00000165280	0.0	0.0
ENSG00000077238	0.0403225806452	0.2
ENSG00000155657	0.0	0.0
ENSG00000162337	0.213043478261	0.98
ENSG00000103494	0.43661971831	0.96875
ENSG00000168394	0.0	0.0
ENSG00000175426	0.0	0.0
ENSG00000135409	0.333333333333	0.909090909091
ENSG00000179774	0.372093023256	0.8
ENSG00000147316	0.2	0.4
ENSG00000110090	0.479674796748	0.728395061728
ENSG00000147257	0.422413793103	0.960784313725
ENSG00000101773	0.0	0.0
ENSG00000123500	0.0	0.0
ENSG00000112077	0.133333333333	1.0
ENSG00000168621	0.245614035088	1.0
ENSG00000233608	0.272727272727	0.5
ENSG00000109906	0.294736842105	0.965517241379
ENSG00000137462	0.0	0.0
ENSG00000183765	0.030534351145	0.5
ENSG00000101986	0.512605042017	0.734939759036
ENSG00000100427	0.176470588235	0.857142857143
ENSG00000184564	0.0	0.0
ENSG00000180318	0.0315789473684	0.6
ENSG00000135241	0.372670807453	0.75
ENSG00000198807	0.275862068966	0.941176470588
ENSG00000135744	0.4	1.0
ENSG00000126603	0.244897959184	0.923076923077
ENSG00000173372	0.0169491525424	1.0
ENSG00000122223	0.0234375	0.0576923076923
ENSG00000156052	0.0789473684211	1.0
ENSG00000152208	0.0	0.0
ENSG00000106799	0.0	0.0
ENSG00000003137	0.484375	0.885714285714
ENSG00000196159	0.156862745098	0.727272727273
ENSG00000136280	0.283018867925	0.882352941176
ENSG00000175325	0.620689655172	1.0
ENSG00000085276	0.444444444444	0.705882352941
ENSG00000139083	0.619047619048	0.928571428571
ENSG00000138829	0.525	1.0
ENSG00000164093	0.264864864865	0.98
ENSG00000111046	0.380952380952	0.727272727273
ENSG00000198947	0.571428571429	0.727272727273
ENSG00000164692	0.0	0.0
ENSG00000096696	0.625	1.0
ENSG00000100225	0.0	0.0
ENSG00000118217	0.010101010101	1.0
ENSG00000135929	0.5	0.714285714286
ENSG00000138823	0.336842105263	0.711111111111
ENSG00000146038	0.357142857143	0.833333333333
ENSG00000118194	0.625	1.0
ENSG00000197891	0.25	0.5
ENSG00000256269	0.0394736842105	1.0
ENSG00000198799	0.0	0.0
ENSG00000142867	0.0	0.0
ENSG00000069974	0.0789473684211	1.0
ENSG00000117298	0.0	0.0
ENSG00000136068	0.333333333333	0.5
ENSG00000156515	0.0	0.0
ENSG00000073734	0.279069767442	0.521739130435
ENSG00000105369	0.0869565217391	0.666666666667
ENSG00000183337	0.117647058824	1.0
ENSG00000108691	0.0	0.0
ENSG00000183230	0.5	1.0
ENSG00000134242	0.0	0.0
ENSG00000089280	0.0625	0.2
ENSG00000242110	0.553191489362	0.742857142857
ENSG00000138622	0.294117647059	1.0
ENSG00000157184	0.537313432836	0.75
ENSG00000007908	0.0	0.0
ENSG00000056972	0.0	0.0
ENSG00000124140	0.0	0.0
ENSG00000107201	0.0469483568075	0.15873015873
ENSG00000012660	0.473684210526	0.642857142857
ENSG00000171557	0.0	0.0
ENSG00000164532	0.0758620689655	1.0
ENSG00000198087	0.0909090909091	0.5
ENSG00000132437	0.3	0.5
ENSG00000008196	0.135802469136	1.0
ENSG00000079215	0.0	0.0
ENSG00000118971	0.367088607595	0.935483870968
ENSG00000091106	0.0	0.0
ENSG00000183423	0.65	1.0
ENSG00000103197	0.049504950495	1.0
ENSG00000143369	0.25	1.0
ENSG00000147099	0.181818181818	1.0
ENSG00000164754	0.0	0.0
ENSG00000158517	0.0	0.0
ENSG00000115380	0.328125	1.0
ENSG00000106331	0.135135135135	0.714285714286
ENSG00000107165	1.0	1.0
ENSG00000096093	0.0454545454545	0.142857142857
ENSG00000136717	0.12	0.75
ENSG00000173991	0.0	0.0
ENSG00000067182	0.0982142857143	0.733333333333
ENSG00000171316	0.0	0.0
ENSG00000104044	0.375	1.0
ENSG00000138083	0.474226804124	0.978723404255
ENSG00000125850	0.220994475138	0.975609756098
ENSG00000077782	0.0	0.0
ENSG00000101017	0.0	0.0
ENSG00000174775	0.0	0.0
ENSG00000168056	0.0340909090909	1.0
ENSG00000107371	0.0	0.0
ENSG00000167723	0.047619047619	0.5
ENSG00000143669	0.0	0.0
ENSG00000130529	0.0	0.0
ENSG00000157933	0.0612244897959	0.75
ENSG00000174106	0.0	0.0
ENSG00000203877	0.482142857143	0.931034482759
ENSG00000170099	0.0	0.0
ENSG00000183287	0.0943396226415	0.294117647059
ENSG00000145354	0.0714285714286	1.0
ENSG00000105607	0.206896551724	0.75
ENSG00000014919	0.176470588235	1.0
ENSG00000121653	0.0	0.0
ENSG00000168040	0.0	0.0
ENSG00000113263	0.0	0.0
ENSG00000177301	0.0	0.0
ENSG00000122877	0.0	0.0
ENSG00000122971	0.48275862069	0.736842105263
ENSG00000183735	0.0	0.0
ENSG00000102974	0.0	0.0
ENSG00000152422	0.0	0.0
ENSG00000139219	0.35593220339	0.7
ENSG00000161011	0.0	0.0
ENSG00000120659	0.0	0.0
ENSG00000135960	0.0	0.0
ENSG00000163913	0.543859649123	0.96875
ENSG00000069011	0.4	0.903225806452
ENSG00000164266	0.333333333333	0.5
ENSG00000102245	0.0	0.0
ENSG00000081052	0.0714285714286	0.666666666667
ENSG00000154767	0.0	0.0
ENSG00000011465	0.25641025641	0.416666666667
ENSG00000149575	0.636363636364	1.0
ENSG00000170374	0.032967032967	1.0
ENSG00000187079	0.258064516129	0.666666666667
ENSG00000132855	0.256880733945	0.666666666667
ENSG00000006016	0.119658119658	0.25
ENSG00000181449	0.46	1.0
ENSG00000173085	0.0	0.0
ENSG00000157388	1.0	1.0
ENSG00000081237	0.0	0.0
ENSG00000178394	0.0	0.0
ENSG00000141448	0.0172413793103	0.428571428571
ENSG00000152784	0.666666666667	1.0
ENSG00000115267	0.0606060606061	0.8
ENSG00000172175	0.0245901639344	0.0576923076923
ENSG00000172071	0.142857142857	0.714285714286
ENSG00000040531	0.3	1.0
ENSG00000151067	0.555555555556	1.0
ENSG00000168477	0.166666666667	0.375
ENSG00000123454	0.0652173913043	1.0
ENSG00000197121	0.7	0.965517241379
ENSG00000158578	0.166666666667	1.0
ENSG00000105991	0.0	0.0
ENSG00000107831	0.254166666667	0.968253968254
ENSG00000175505	0.0	0.0
ENSG00000138684	0.0747330960854	0.247058823529
ENSG00000138686	0.283582089552	0.95
ENSG00000095015	0.0	0.0
ENSG00000167941	0.0	0.0
ENSG00000186827	0.0	0.0
ENSG00000169379	0.612903225806	0.95
ENSG00000119042	0.0666666666667	1.0
ENSG00000072778	0.333333333333	0.704225352113
ENSG00000156466	0.129496402878	1.0
ENSG00000110887	0.75	1.0
ENSG00000138759	0.5	1.0
ENSG00000183918	0.02	0.166666666667
ENSG00000068831	0.0625	0.2
ENSG00000169554	0.103448275862	1.0
ENSG00000187323	0.0	0.0
ENSG00000106571	0.285714285714	0.920634920635
ENSG00000172817	0.0	0.0
ENSG00000164756	0.0	0.0
ENSG00000111799	0.0869565217391	0.166666666667
ENSG00000142611	0.0	0.0
ENSG00000167768	0.0	0.0
ENSG00000145623	0.0338983050847	0.0869565217391
ENSG00000198286	0.103448275862	1.0
ENSG00000108379	0.571428571429	0.975609756098
ENSG00000187098	0.0967741935484	1.0
ENSG00000134532	0.215384615385	0.965517241379
ENSG00000113905	0.266666666667	0.888888888889
ENSG00000130402	0.35	1.0
ENSG00000116014	0.364705882353	0.720930232558
ENSG00000204262	0.0	0.0
ENSG00000143627	0.157142857143	0.458333333333
ENSG00000032444	0.338235294118	0.741935483871
ENSG00000213918	0.0	0.0
ENSG00000196396	0.03	0.666666666667
ENSG00000125255	0.0	0.0
ENSG00000105880	0.0454545454545	1.0
ENSG00000123700	1.0	1.0
ENSG00000088926	0.0	0.0
ENSG00000096996	0.0745341614907	0.142857142857
ENSG00000133895	0.0416666666667	0.769230769231
ENSG00000137674	0.619047619048	0.928571428571
ENSG00000116039	1.0	1.0
ENSG00000187240	0.333333333333	0.928571428571
ENSG00000137672	0.206896551724	1.0
ENSG00000139515	0.0340909090909	0.5
ENSG00000136872	0.0	0.0
ENSG00000159216	0.0	0.0
ENSG00000180210	0.0	0.0
ENSG00000179111	0.0	0.0
ENSG00000275410	0.0241935483871	0.75
ENSG00000163132	0.269005847953	0.978723404255
ENSG00000196739	0.0	0.0
ENSG00000156738	0.0666666666667	0.666666666667
ENSG00000104313	0.34126984127	0.977272727273
ENSG00000204104	0.516666666667	0.96875
ENSG00000168447	0.344827586207	1.0
ENSG00000125675	0.0	0.0
ENSG00000162669	0.0	0.0
ENSG00000185920	0.183544303797	0.966666666667
ENSG00000027697	0.333333333333	0.9375
ENSG00000203883	0.0	0.0
ENSG00000046604	0.625	1.0
ENSG00000068885	0.189189189189	0.875
ENSG00000189114	0.0508474576271	0.176470588235
ENSG00000204644	0.2	0.5
ENSG00000131697	1.0	1.0
ENSG00000188690	0.0361445783133	1.0
ENSG00000090534	0.0	0.0
ENSG00000125084	0.345238095238	0.983050847458
ENSG00000185551	0.0740740740741	0.666666666667
ENSG00000117595	0.0	0.0
ENSG00000117594	0.0	0.0
ENSG00000159459	0.111111111111	1.0
ENSG00000169344	0.0	0.0
ENSG00000162711	0.0	0.0
ENSG00000105397	0.0	0.0
ENSG00000163961	0.0	0.0
ENSG00000132155	0.0	0.0
ENSG00000135956	0.111111111111	1.0
ENSG00000147050	0.790697674419	0.971428571429
ENSG00000172936	0.018691588785	0.046511627907
ENSG00000007372	0.326315789474	0.885714285714
ENSG00000040608	0.660377358491	0.833333333333
ENSG00000175544	0.0	0.0
ENSG00000006283	0.833333333333	1.0
ENSG00000150630	0.148936170213	0.875
ENSG00000100906	0.0	0.0
ENSG00000177084	0.0434782608696	0.666666666667
ENSG00000186862	0.133333333333	1.0
ENSG00000104973	0.0	0.0
ENSG00000177045	0.125	0.5
ENSG00000134333	0.16393442623	0.555555555556
ENSG00000117054	0.657142857143	0.793103448276
ENSG00000100150	0.05	1.0
ENSG00000114480	0.352941176471	1.0
ENSG00000110799	0.0222222222222	0.111111111111
ENSG00000129170	0.0	0.0
ENSG00000123560	0.206896551724	1.0
ENSG00000138160	0.0	0.0
ENSG00000165588	0.55	0.942857142857
ENSG00000138002	0.235294117647	1.0
ENSG00000090054	0.0	0.0
ENSG00000136492	0.0333333333333	0.25
ENSG00000101311	0.75	1.0
ENSG00000174804	0.0961538461538	1.0
ENSG00000134571	0.625	1.0
ENSG00000183454	0.0	0.0
ENSG00000117528	0.5	0.724637681159
ENSG00000225830	0.0	0.0
ENSG00000204103	0.051724137931	0.6
ENSG00000073282	0.0	0.0
ENSG00000124813	0.241573033708	0.977272727273
ENSG00000187566	0.352941176471	1.0
ENSG00000144381	0.0	0.0
ENSG00000143178	0.441860465116	1.0
ENSG00000109132	0.528301886792	0.965517241379
ENSG00000106327	0.0588235294118	1.0
ENSG00000064835	0.4375	1.0
ENSG00000134595	0.153846153846	1.0
ENSG00000050555	0.047619047619	1.0
ENSG00000163069	0.0	0.0
ENSG00000055118	0.875	1.0
ENSG00000197467	0.0	0.0
ENSG00000111713	0.352941176471	1.0
ENSG00000179583	0.0	0.0
ENSG00000148795	0.0	0.0
ENSG00000095464	0.0	0.0
ENSG00000125965	0.224	0.965517241379
ENSG00000142627	0.488372093023	1.0
ENSG00000128610	0.741935483871	0.958333333333
ENSG00000175445	0.0909090909091	0.6
ENSG00000176887	0.0144927536232	0.375
ENSG00000123240	0.0	0.0
ENSG00000169169	0.571428571429	0.727272727273
ENSG00000060718	0.0	0.0
ENSG00000128917	0.0673076923077	1.0
ENSG00000072163	0.36	1.0
ENSG00000139193	0.0796460176991	0.18
ENSG00000120915	0.15	1.0
ENSG00000122512	0.0	0.0
ENSG00000168646	0.014652014652	0.666666666667
ENSG00000158813	0.0	0.0
ENSG00000119723	0.3	0.75
ENSG00000158815	0.0	0.0
ENSG00000159958	0.103448275862	0.6
ENSG00000123342	0.0	0.0
ENSG00000151704	0.526315789474	1.0
ENSG00000148704	0.470588235294	0.941176470588
ENSG00000107882	0.0421052631579	0.4
ENSG00000111252	0.152173913043	0.583333333333
ENSG00000124356	0.145454545455	1.0
ENSG00000079435	0.389830508475	0.741935483871
ENSG00000149489	0.0	0.0
ENSG00000166813	0.345454545455	0.904761904762
ENSG00000130385	0.0652173913043	1.0
ENSG00000130508	0.0	0.0
ENSG00000105929	1.0	1.0
ENSG00000101076	0.046511627907	0.833333333333
ENSG00000170266	0.0	0.0
ENSG00000110719	1.0	1.0
ENSG00000159723	0.24	1.0
ENSG00000187796	0.0294117647059	1.0
ENSG00000130164	0.319327731092	0.716981132075
ENSG00000107187	0.645833333333	0.96875
ENSG00000104899	0.571428571429	1.0
ENSG00000114378	0.0	0.0
ENSG00000081923	0.0	0.0
ENSG00000166257	0.818181818182	1.0
ENSG00000152556	0.15	0.529411764706
ENSG00000127241	0.129032258065	0.5
ENSG00000164175	0.375	1.0
ENSG00000140459	0.5	1.0
ENSG00000153113	0.025974025974	1.0
ENSG00000168487	0.194805194805	0.833333333333
ENSG00000231925	0.0	0.0
ENSG00000183691	0.300492610837	0.953125
ENSG00000165462	0.462962962963	0.862068965517
ENSG00000090932	0.243243243243	1.0
ENSG00000136160	0.6	1.0
ENSG00000136695	0.0294117647059	0.117647058824
ENSG00000125848	0.263157894737	0.833333333333
ENSG00000052850	0.619047619048	0.866666666667
ENSG00000148204	0.173076923077	1.0
ENSG00000105146	0.0	0.0
ENSG00000174842	0.0333333333333	0.125
ENSG00000132386	0.0	0.0
ENSG00000101210	0.0579710144928	1.0
ENSG00000095002	0.0	0.0
ENSG00000103089	0.0909090909091	0.666666666667
ENSG00000151929	0.0852713178295	0.196428571429
ENSG00000124827	0.0	0.0
ENSG00000113594	0.0196078431373	0.0454545454545
ENSG00000169306	0.0	0.0
ENSG00000090861	0.0	0.0
ENSG00000106211	0.0512820512821	1.0
ENSG00000115474	1.0	1.0
ENSG00000066629	0.176470588235	0.5
ENSG00000055208	0.0	0.0
ENSG00000103313	0.0	0.0
ENSG00000101850	0.214285714286	1.0
ENSG00000005893	0.0	0.0
ENSG00000011198	0.283333333333	0.723404255319
ENSG00000148516	0.0294117647059	1.0
ENSG00000049130	0.0	0.0
ENSG00000128710	0.536585365854	0.95652173913
ENSG00000128714	0.172413793103	0.757575757576
