gene	JI	OC
ENSG00000005471	0.0	0.0
ENSG00000039068	0.0	0.0
ENSG00000175097	0.75	1.0
ENSG00000087494	0.25	1.0
ENSG00000182492	0.0	0.0
ENSG00000131759	0.166666666667	0.4
ENSG00000105610	0.0	0.0
ENSG00000180644	0.0	0.0
ENSG00000168484	1.0	1.0
ENSG00000023839	0.0	0.0
ENSG00000105722	0.0	0.0
ENSG00000109424	0.428571428571	0.6
ENSG00000107165	0.666666666667	1.0
ENSG00000164093	0.75	1.0
ENSG00000117425	1.0	1.0
ENSG00000104899	0.142857142857	1.0
ENSG00000135446	0.545454545455	1.0
ENSG00000164266	0.0	0.0
ENSG00000111012	0.0	0.0
ENSG00000112592	0.0	0.0
ENSG00000196839	0.2	1.0
ENSG00000008710	0.0	0.0
ENSG00000125084	0.5	0.75
ENSG00000125538	0.0833333333333	0.166666666667
ENSG00000110799	0.333333333333	1.0
ENSG00000131482	0.5	1.0
ENSG00000169169	0.75	0.857142857143
ENSG00000183072	0.0	0.0
ENSG00000166819	0.6	0.75
ENSG00000187498	0.333333333333	1.0
ENSG00000116171	0.6	0.75
ENSG00000162552	1.0	1.0
ENSG00000154485	1.0	1.0
ENSG00000141646	0.0	0.0
ENSG00000137745	0.222222222222	0.4
ENSG00000104368	0.3	0.75
ENSG00000100393	0.0344827586207	0.5
ENSG00000174080	0.0	0.0
ENSG00000160224	0.0	0.0
ENSG00000106633	0.25	0.666666666667
ENSG00000038945	0.2	1.0
ENSG00000173801	0.454545454545	1.0
ENSG00000186847	0.0	0.0
ENSG00000168447	1.0	1.0
ENSG00000010671	0.25	1.0
ENSG00000070831	0.0	0.0
ENSG00000001626	0.0	0.0
ENSG00000197561	0.6	0.75
ENSG00000010704	0.666666666667	1.0
ENSG00000104918	0.0	0.0
ENSG00000105392	1.0	1.0
ENSG00000134323	0.0	0.0
ENSG00000136689	0.5	1.0
ENSG00000114251	1.0	1.0
ENSG00000135929	0.375	0.75
ENSG00000105369	0.2	1.0
ENSG00000066468	0.0	0.0
ENSG00000077782	0.0	0.0
ENSG00000164690	0.333333333333	1.0
ENSG00000026103	0.222222222222	0.444444444444
ENSG00000134333	0.125	0.25
ENSG00000124813	0.25	0.5
ENSG00000273079	0.0	0.0
ENSG00000142208	0.214285714286	1.0
ENSG00000143627	0.4	1.0
ENSG00000167468	0.0	0.0
ENSG00000092969	0.285714285714	1.0
ENSG00000139515	0.75	1.0
ENSG00000132326	0.333333333333	0.6
ENSG00000115758	0.166666666667	1.0
ENSG00000073282	1.0	1.0
ENSG00000136158	0.333333333333	1.0
ENSG00000196743	0.5	1.0
ENSG00000174697	0.166666666667	0.5
ENSG00000125845	0.75	1.0
ENSG00000120708	0.0	0.0
ENSG00000101076	0.25	1.0
ENSG00000139219	0.0	0.0
ENSG00000135766	0.5	1.0
ENSG00000143387	1.0	1.0
ENSG00000116132	1.0	1.0
ENSG00000141736	0.2	0.666666666667
ENSG00000151090	0.0	0.0
ENSG00000157765	0.0	0.0
ENSG00000125384	0.111111111111	0.25
ENSG00000161533	0.666666666667	0.857142857143
ENSG00000018625	0.5	1.0
ENSG00000086062	0.0	0.0
ENSG00000100292	0.111111111111	0.333333333333
ENSG00000113580	0.111111111111	0.333333333333
ENSG00000007171	0.322580645161	0.833333333333
ENSG00000068078	0.4	0.666666666667
ENSG00000102575	0.333333333333	0.666666666667
ENSG00000091136	0.0	0.0
ENSG00000111276	0.1	0.25
ENSG00000074047	0.6	1.0
ENSG00000138061	0.0	0.0
ENSG00000078401	0.0666666666667	0.25
ENSG00000169884	0.75	1.0
ENSG00000184937	0.272727272727	1.0
ENSG00000160213	0.5	1.0
ENSG00000197386	0.25	0.5
ENSG00000125730	0.0	0.0
ENSG00000143369	0.0	0.0
ENSG00000012048	0.3	0.75
ENSG00000105329	0.190476190476	1.0
ENSG00000187678	1.0	1.0
ENSG00000187098	0.928571428571	1.0
ENSG00000164362	0.133333333333	0.5
ENSG00000100311	0.25	0.666666666667
ENSG00000117594	0.333333333333	0.5
ENSG00000170836	1.0	1.0
ENSG00000007372	1.0	1.0
ENSG00000150630	0.714285714286	0.909090909091
ENSG00000175564	0.4	0.666666666667
ENSG00000134574	0.333333333333	1.0
ENSG00000142627	0.25	0.5
ENSG00000175445	0.666666666667	0.857142857143
ENSG00000115159	0.5	0.666666666667
ENSG00000132386	0.0	0.0
ENSG00000165392	0.5	1.0
ENSG00000121691	0.333333333333	1.0
ENSG00000197616	0.0	0.0
ENSG00000107796	0.0	0.0
ENSG00000108821	0.25	0.444444444444
ENSG00000147465	0.0	0.0
ENSG00000132170	0.133333333333	0.4
ENSG00000166947	0.0	0.0
ENSG00000115414	0.0	0.0
ENSG00000101200	0.2	0.666666666667
ENSG00000196712	0.333333333333	0.5
ENSG00000072062	0.0	0.0
ENSG00000122861	0.176470588235	0.375
ENSG00000198931	0.0	0.0
ENSG00000175206	0.0	0.0
ENSG00000077942	0.25	0.5
ENSG00000110092	0.557692307692	1.0
ENSG00000142192	0.142857142857	1.0
ENSG00000109163	0.222222222222	0.4
ENSG00000115138	0.2	0.5
ENSG00000051180	0.0	0.0
ENSG00000108691	0.166666666667	0.4
ENSG00000152591	1.0	1.0
ENSG00000164442	1.0	1.0
ENSG00000005381	0.166666666667	1.0
ENSG00000101017	0.2	1.0
ENSG00000121879	0.333333333333	1.0
ENSG00000154764	0.75	1.0
ENSG00000143839	0.222222222222	0.4
ENSG00000106571	0.6	1.0
ENSG00000110245	0.307692307692	0.571428571429
ENSG00000102145	0.5	1.0
ENSG00000185920	1.0	1.0
ENSG00000131910	0.333333333333	0.5
ENSG00000150995	0.5	1.0
ENSG00000077498	0.666666666667	1.0
ENSG00000198910	0.333333333333	0.5
ENSG00000182578	0.6	1.0
ENSG00000175084	1.0	1.0
ENSG00000140939	0.21875	0.777777777778
ENSG00000157404	0.272727272727	0.5
ENSG00000145675	0.0	0.0
ENSG00000106366	0.0769230769231	0.4
ENSG00000118271	0.0	0.0
ENSG00000166828	0.25	1.0
ENSG00000177628	0.25	0.5
ENSG00000164867	0.0	0.0
ENSG00000174437	0.555555555556	0.833333333333
ENSG00000117560	0.1	1.0
ENSG00000125378	0.375	0.6
ENSG00000075891	0.5	1.0
ENSG00000100985	0.444444444444	0.727272727273
